[02-Jun-2011 21:21:49] PHP Fatal error:  Class 'titon\Titon' not found in C:\xampp\htdocs\titon\titon\core\Loader.php on line 45
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Warning:  constant() [<a href='function.constant'>function.constant</a>]: Couldn't find constant SOURCE in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 216
[02-Jun-2011 21:22:42] PHP Warning:  strpos() [<a href='function.strpos'>function.strpos</a>]: Empty delimiter in C:\xampp\htdocs\titon\titon\log\Debugger.php on line 218
[02-Jun-2011 21:22:42] PHP Fatal error:  Class 'titon\Titon' not found in C:\xampp\htdocs\titon\app\config\setup.php on line 21
[02-Jun-2011 21:22:59] PHP Fatal error:  Class 'titon\Titon' not found in C:\xampp\htdocs\titon\app\config\setup.php on line 21
[02-Jun-2011 21:23:32] PHP Fatal error:  Class 'titon\Titon' not found in C:\xampp\htdocs\titon\app\config\setup.php on line 21
[02-Jun-2011 21:23:47] PHP Fatal error:  Class 'titon\base\Base' not found in C:\xampp\htdocs\titon\titon\net\Http.php on line 19
[02-Jun-2011 21:24:20] PHP Fatal error:  Class 'titon\base\Base' not found in C:\xampp\htdocs\titon\titon\net\Http.php on line 19
[02-Jun-2011 21:24:40] PHP Fatal error:  Class 'titon\net\Object' not found in C:\xampp\htdocs\titon\titon\net\Http.php on line 19
